GASOLINE STATIONS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    12803     12601     12639     12710     12870     12886     12966     13092     13246     13304     13358     13475
1993    13398     13596     13487     13539     13521     13461     13502     13372     13416     13755     13754     13627
1994    13656     13875     13911     13867     13773     14059     14322     14685     14649     14709     14878     14885
1995    14915     14963     14921     15021     15215     15333     15249     15227     15194     15007     14981     15246
1996    15479     15457     15951     16252     16488     16352     16075     16066     16088     16360     16602     16759
1997    16938     16984     16969     16613     16367     16378     16396     16682     16757     16711     16638     16536
1998    16225     16054     15703     15798     16057     15933     16087     15851     15812     15948     16014     16399
1999    16394     16309     16529     17115     17186     17070     17704     18135     18339     18632     18992     20095
2000    19358     20214     20819     19907     20242     20885     20905     20574     21327     21412     21906     22124
2001    21931     21615     20652     21618     22628     21928     20686     20878     21336     20033     19245     18950
2002    19130     19068     19813     20856     20930     20733     21438     21182     21272     21659     22009     22464
2003    23073     23885     23968     22581     21810     21777     22196     23073     23214     22714     23472     23994
2004    24889     25256     25679     25518     27011     27050     26745     26552     27161     28656     29349     29046
2005    28375     29015     29498     30009     29140     29889     30976     33399     36116     35911     33185     33154
2006    34298     34174     34195     35646     36159     36228     36963     37696     34935     32912     33322     34895
2007    34244     34932     35999     36350     37996     37310     36963     37223     38210     39307     41985     41593
2008    42423     42504     43044     42933     44344     46547     46813     45645     45777     40584     31776     27999
2009    28818     29860     28825     28747     30488     33375     33066     34658     34800     34885     36573     37182
2010    37358     36950     37160     37182     36537     35809     35731     36189     37319     38519     39272     41279
2011    41732     42294     43737     44604     45300     44698     44712     45159     45127     44846     45622     45243
2012    45702     47171     47448     46913     45808     43811     43484     46434     46966     48212     46822     45787
2013    45970     48839     47298     45963     45341     45484     45706     45216     45245     44633     44267     46076
2014    46564     46817     46079     46508     46103     45296     45085     45150     44770     43858     42689     39738
2015    35772     36853     37446     36886     38304     39194     39263     38115     35983     35562     35056     34681
2016    33271     31576     32912     33876     34763     35977     35229     34588     35455     36256     36074     37351
2017    37949     37919     37789     37686     36425     35982     35751     36936     39433     38991     40486     41377
2018    42166     42276     41791     41877     43074     43330     43502     44206     43618     45442     43515     40954
2019    40252     41654     43101                                                                                          


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.945     0.919     0.971     0.979     1.045     1.042     1.070     1.056     0.992     1.027     0.978     1.001
1993     0.935     0.887     0.976     0.988     1.042     1.040     1.070     1.056     0.997     1.015     0.983     1.008
1994     0.931     0.886     0.981     0.984     1.042     1.047     1.057     1.062     1.005     1.010     0.977     1.008
1995     0.930     0.883     0.989     0.974     1.048     1.057     1.053     1.065     1.000     1.010     0.980     0.996
1996     0.935     0.916     0.979     0.986     1.057     1.037     1.060     1.075     0.993     1.019     0.978     0.989
1997     0.942     0.878     0.976     0.985     1.058     1.041     1.066     1.063     1.002     1.027     0.962     0.990
1998     0.939     0.876     0.978     0.993     1.045     1.050     1.075     1.061     1.003     1.029     0.960     0.983
1999     0.922     0.875     0.986     1.005     1.042     1.050     1.080     1.063     1.012     1.018     0.960     0.978
2000     0.914     0.905     1.000     0.993     1.048     1.065     1.065     1.076     1.016     1.014     0.954     0.954
2001     0.916     0.876     1.007     1.002     1.054     1.060     1.067     1.085     1.002     1.020     0.958     0.941
2002     0.915     0.876     1.001     1.012     1.062     1.045     1.072     1.092     1.005     1.028     0.949     0.932
2003     0.919     0.873     0.996     1.011     1.068     1.047     1.081     1.082     1.008     1.041     0.935     0.933
2004     0.915     0.893     0.997     1.027     1.058     1.050     1.095     1.082     1.007     1.031     0.943     0.940
2005     0.901     0.861     0.996     1.018     1.069     1.066     1.094     1.084     1.004     1.018     0.942     0.943
2006     0.898     0.856     0.991     1.010     1.079     1.080     1.098     1.089     0.997     1.009     0.947     0.936
2007     0.903     0.852     0.989     1.009     1.089     1.085     1.101     1.085     0.986     1.003     0.948     0.938
2008     0.912     0.885     0.981     1.017     1.094     1.076     1.105     1.075     0.987     1.001     0.940     0.942
2009     0.921     0.858     0.987     1.024     1.081     1.077     1.099     1.067     0.987     1.004     0.939     0.948
2010     0.914     0.863     1.002     1.030     1.072     1.067     1.093     1.065     0.996     0.999     0.944     0.947
2011     0.911     0.867     1.014     1.028     1.065     1.063     1.078     1.070     1.007     1.006     0.942     0.945
2012     0.906     0.895     1.020     1.016     1.074     1.061     1.073     1.081     1.005     1.016     0.949     0.930
2013     0.907     0.862     1.005     1.013     1.078     1.058     1.081     1.086     1.008     1.031     0.947     0.926
2014     0.905     0.858     0.994     1.005     1.084     1.060     1.090     1.078     1.016     1.036     0.942     0.931
2015     0.907     0.857     0.982     1.005     1.077     1.067     1.092     1.074     1.018     1.041     0.942     0.940
2016     0.902     0.886     0.984     1.003     1.074     1.070     1.083     1.074     1.024     1.028     0.948     0.949
2017     0.902     0.859     0.985     0.997     1.080     1.073     1.074     1.078     1.013     1.034     0.958     0.934
2018     0.897     0.851     0.987     0.996     1.083     1.065     1.071     1.073     1.013     1.033     0.964     0.932
2019     0.906     0.853     0.981     1.005     1.084     1.060     1.076     1.089     1.017     1.037     0.961     0.926
2020     0.906     0.883     0.981     1.008     1.076     1.062     1.083     1.078     1.022     1.041     0.954     0.932
2021     0.898     0.851     0.986                                                                                          
